WAPOL_Hierarchy_Lvl2,2
Arson,-0.6382433141197068
Assault (Family),-0.713330762839675
Assault (Non-Family),5.068402788597673
Breach of Violence Restraint Order,-4.204897128318066
Burglary,-1.126311730799486
Deprivation of Liberty,0.2252623461598965
Drug Offences,-22.676409513429576
Fraud & Related Offences,-6.79541410915688
Graffiti,-0.18771862179991317
Historical Sexual Offences,-2.6656044295587735
Homicide,0.03754372435998271
Property Damage,0.22526234615989438
Receiving and Possession of Stolen Property,-3.3038477436784834
Recent Sexual Offences,-5.368752583477534
Regulated Weapons Offences,-3.0785853975185837
Robbery,-1.4266615256793442
Stealing,6.269801968117122
Stealing of Motor Vehicle,0.18771862179991494
Threatening Behaviour (Family),-0.6006995897597243
Threatening Behaviour (Non-Family),-1.3515740769593787
